[0, '2160', '8640', 0, 0, '1920', 0, 0, 0, 0, 0, 0]
['2160', 0, 0, 0, 0, 0, '1620', 0, 0, 0, 0, 0]
['8640', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, '375', 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, '375', 0, 0, 0, 0, 0, 0, 0, 0]
['1920', 0, 0, 0, 0, 0, '1380', 0, 0, 0, 0, 0]
[0, '1620', 0, 0, 0, '1380', 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, '1380', 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, '1380', 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1320', 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, '1320', 0, '2550']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '2550', 0]
