Latitude,Longitude,Source File,Stop Name,Line,Distance (m), Complex ID
40.707513,-74.013783,Subway_lines.csv,Rector St,1Line,0,329
40.711835,-74.012188,Subway_lines.csv,WTC Cortlandt,1Line,0,328
40.715478,-74.009266,Subway_lines.csv,Chambers St,1Line,0,327
40.719318,-74.006886,Subway_lines.csv,Franklin St,1Line,0,326
40.722854,-74.006277,Subway_lines.csv,Canal St,1Line,0,325
40.728251,-74.005367,Subway_lines.csv,Houston St,1Line,0,324
40.733422,-74.002906,Subway_lines.csv,Christopher St-Stonewall,1Line,0,323
40.737826,-74.000201,Subway_lines.csv,14 St,1Line,0,601
40.74104,-73.997871,Subway_lines.csv,18 St,1Line,0,321
40.744081,-73.995657,Subway_lines.csv,23 St,1Line,0,320
40.747215,-73.993365,Subway_lines.csv,28 St,1Line,0,319
40.750373,-73.991057,Subway_lines.csv,34 St-Penn Station,1Line,0,318
40.75529,-73.987495,Subway_lines.csv,Times Sq-42 St,1Line,0,611
40.761728,-73.983849,Subway_lines.csv,50 St,1Line,0,316
40.768247,-73.981929,Subway_lines.csv,59 St-Columbus Circle,1Line,0,614
40.77344,-73.982209,Subway_lines.csv,66 St-Lincoln Center,1Line,0,314
40.778453,-73.98197,Subway_lines.csv,72 St,1Line,0,313
40.783934,-73.979917,Subway_lines.csv,79 St,1Line,0,312
40.788644,-73.976218,Subway_lines.csv,86 St,1Line,0,311
40.793919,-73.972323,Subway_lines.csv,96 St,1Line,0,310
40.799446,-73.968379,Subway_lines.csv,103 St,1Line,0,309
40.803967,-73.966847,Subway_lines.csv,Cathedral Pkwy (110 St),1Line,0,308
40.807722,-73.96411,Subway_lines.csv,116 St-Columbia University,1Line,0,307
40.815581,-73.958372,Subway_lines.csv,125 St,1Line,0,306
40.822008,-73.953676,Subway_lines.csv,137 St-City College,1Line,0,305
40.826551,-73.95036,Subway_lines.csv,145 St,1Line,0,304
40.834041,-73.94489,Subway_lines.csv,157 St,1Line,0,303
40.840556,-73.940133,Subway_lines.csv,168 St-Washington Hts,1Line,0,605
40.849505,-73.933596,Subway_lines.csv,181 St,1Line,0,301
40.855225,-73.929412,Subway_lines.csv,191 St,1Line,0,300
40.860531,-73.925536,Subway_lines.csv,Dyckman St,1Line,0,299
40.864621,-73.918822,Subway_lines.csv,207 St,1Line,0,298
40.869444,-73.915279,Subway_lines.csv,215 St,1Line,0,297
40.874561,-73.909831,Subway_lines.csv,Marble Hill-225 St,1Line,0,296
40.878856,-73.904834,Subway_lines.csv,231 St,1Line,0,295
40.884667,-73.90087,Subway_lines.csv,238 St,1Line,0,294
40.889248,-73.898583,Subway_lines.csv,Van Cortlandt Park-242 St,1Line,0,293
